Municipality,Readiness_Index,Shelters,Hospitals,Community Centers,Schools,Government Buildings,Transportation Hubs
Rincón,0.17398305084745763,0.0,0.03389830508474577,0.20338983050847456,1.0,0.2833333333333333,0.06666666666666667
Río Grande,0.6155649717514123,1.0,0.13559322033898305,1.0,1.0,0.2833333333333333,0.03333333333333333
Sabana Grande,0.5151285797779076,0.8813559322033899,0.03389830508474577,0.864406779661017,0.27586206896551724,0.8,0.05
Salinas,0.15108416130917593,0.15254237288135591,0.0,0.5423728813559322,0.1896551724137931,0.0,0.05
San Germán,0.39790960451977403,0.3559322033898305,0.03389830508474577,0.728813559322034,1.0,0.3833333333333333,0.35
San Juan,0.7687570621468927,0.576271186440678,0.6101694915254238,1.0,1.0,0.9333333333333333,1.0
San Lorenzo,0.20493376193259305,0.30508474576271183,0.08474576271186442,0.11864406779661017,0.3275862068965517,0.4,0.016666666666666666
San Sebastián,0.37607344632768364,0.4745762711864407,0.1016949152542373,0.6440677966101696,1.0,0.05,0.06666666666666667
Santa Isabel,0.3602893045002923,1.0,0.05084745762711865,0.20338983050847456,0.1206896551724138,0.03333333333333333,0.016666666666666666
Toa Alta,0.45284336645236706,0.7627118644067797,0.13559322033898305,0.9491525423728814,0.3275862068965517,0.13333333333333333,0.016666666666666666
Toa Baja,0.23992304695110073,0.2711864406779661,0.3220338983050847,0.3728813559322034,0.13793103448275862,0.06666666666666667,0.016666666666666666
Trujillo Alto,0.2718702513150204,0.0,0.5423728813559322,0.3728813559322034,0.603448275862069,0.06666666666666667,0.13333333333333333
Utuado,0.25571400740307815,0.423728813559322,0.0,0.2542372881355932,0.6379310344827587,0.25,0.016666666666666666
Vega Alta,0.57909604519774,1.0,0.3389830508474576,0.4067796610169491,1.0,0.3,0.03333333333333333
Vega Baja,0.44322910578609,1.0,0.1694915254237288,0.13559322033898305,0.6551724137931035,0.13333333333333333,0.016666666666666666
Vieques,0.4080605883498929,0.9830508474576272,0.13559322033898305,0.13559322033898305,0.1724137931034483,0.15,0.26666666666666666
Villalba,0.04504188583674265,0.0,0.01694915254237288,0.0,0.24137931034482757,0.11666666666666667,0.05
Yabucoa,0.4117660237677771,0.9830508474576272,0.03389830508474577,0.3389830508474576,0.2586206896551724,0.2833333333333333,0.03333333333333333
Yauco,0.46628677186830314,1.0,0.0,0.8135593220338984,0.27586206896551724,0.15,0.016666666666666666
